ID,Date,Author,Target,Description,Attack,Target Class,Attack Class,Country,Link,Tags,
22,22/09/2015,Anonymous,"Philippines' National Telecom Commission
http://www.ntc.gov.ph","The website of the Philippines' National Telecom Commission (NTC), ntc.gov.ph, is defaced by the local branch of the Anonymous in a form of protest against the slow local Internet connection average speed.",Defacement,Government,H,PH,http://news.softpedia.com/news/anonymous-defaces-philippines-telecom-commission-website-protesting-slow-internet-speeds-492336.shtml,"Philippines' National Telecom Commission, NTC, Anonymous, ntc.gov.ph",","
23,22/09/2015,?,realtor.com,"Yet another high-profile website victim of a malvertising campaign. This time the target is realtor.com, a popular real estate website realtor.com, ranked third in its category with an estimated 28 million monthly visits.",Malvertising,Industry: Real Estate,CC,US,https://blog.malwarebytes.org/malvertising-2/2015/09/malvertising-attack-hits-realtor-com-visitors/,"Malwarebytes, realtor.com",","
24,23/09/2015,?(China?),"U.S. Government entity
European media company","A report from Palo Alto Networks confirms Chinese cyber attacks on a U.S. government entity and a European media company. The attacks, using a malware called '3102' were observed respectively on May 6, 2015 and May 11, 2015.",Targeted Attack,"Government
Industry: Media",CE,"US
EU",http://www.forbes.com/sites/lisabrownlee/2015/09/25/new-report-of-malicious-chinese-cyber-attack-on-a-u-s-government-agency/?ss=Security,"Palo Alto Networks, 3102",","
25,23/09/2015,Smitt3nz,http://www.the-athenaeum.org,"Smitt3nz hacks the-athenaeum.org and dumps 1,671 users with hashed passwords.",SQLi,Online Services,CC,US,http://siph0n.in/exploits.php?id=4072,"Smitt3nz, the-athenaeum.org",","
26,24/09/2015,?,"Adult portals, including top domain xHamster.com","Malwarebytes reveals the latest developments of the malvertising campaign plaguing primary domains such as Yahoo.com, MSN.com since August. Now the time the campaign is targeting several adult portals such as xHamster.com. The malicious advertising is served by TrafficHaus.",Malvertising,Adult Sites,CC,>1,https://blog.malwarebytes.org/malvertising-2/2015/09/ssl-malvertising-campaign-targets-top-adult-sites/,"Malwarebytes, Yahoo.com, MSN.com, xHamster.com, TrafficHaus",","
27,24/09/2015,?,"4chan
8chan","Imgur, the photo-sharing website, is exploited in a distributed denial-of-service (DDoS) attack on the popular imageboards 4chan and 8chan. ",DDoS,Imageboard,CC,US,http://www.scmagazine.com/news/archive/10652/,"Imgur, 4chan, 8chan",","
28,24/09/2015,NetPirates,http://dresscloud.pl/,"The NetPirates hack dresscloud.pl and dump 5,269 usernames and hashed passwords.",SQLi,Industry: E-Commerce,CC,PL,http://siph0n.net/exploits.php?id=4076,"NetPirates, dresscloud.pl",","
29,25/09/2015,Anonymous,Canadian Government,"As part of their vendetta against the Canadian government, hackers claiming to belong to the Anonymous collective leak another high-level confidential federal document.",Unknown,Government,H,CA,http://news.nationalpost.com/news/canada/anonymous-leaks-another-high-level-federal-document-as-part-of-vendetta-against-government,Anonymous,","
30,25/09/2015,?,Hilton Hotel,Multiple sources in the banking industry say they have traced a pattern of credit card fraud that suggests hackers have compromised point-of-sale registers in gift shops and restaurants at a large number of Hilton Hotel and franchise properties across the United States. ,Unknown,Industry: Hotel and Hospitality,CC,US,http://krebsonsecurity.com/2015/09/banks-card-breach-at-hilton-hotel-properties/,Hilton Hotel,","
31,25/09/2015,?,North Oldham High School,"North Oldham High School alerts 2,800 current and former students that a data breach earlier this month could have exposed their names, social security numbers and other personal information after a school computer falls victim of a drive-by attack.",Malware,Education,CC,US,http://www.courier-journal.com/story/news/education/2015/09/25/n-oldham-high-data-breach-could-affect-2800/72812598/,North Oldham High School,","
32,25/09/2015,?,APEGA,"APEGA, the body that regulates engineers and geologists in Alberta reports a ""significant data breach"" when all the names and email addresses of its 75,000 members are given to an unknown party as a result of a phishing event.",Account Hijacking,Org: Professional Category,CC,CA,https://www.apega.ca/breach.html,APEGA,","
33,25/09/2015,?,The Big Blue Bus,The Big Blue Bus alerts customers of a potential data breach related to the NextBus program,Unknown,Bus Operator,CC,US,http://smdp.com/data-breach-involves-big-blue-bus-customers/151000,Big Blue Bus,","
34,26/09/2015,Team Pak Cyber Attacker,"Official website of Kerala Government:
http://www.kerala.gov.in",A Pakistani hacker dubbed Pakistan Zindabad defaces two websites belonging to the Kerala Government.,Defacement,Government,H,IN,http://www.inquisitr.com/2451705/indian-hackers-deface-over-40-pakistani-websites-hours-after-two-indian-government-portals-were-hacked/,"Team Pak Cyber Attacker, kerala.gov.in",","
35,26/09/2015,The Mallu Cyber Soldiers,"46 Pakistan websites, which include Pakistan’s government website Pakistan.gov.pk, president.gov.pk and cabinet.gov.pk","In retaliation for the defacement of the Website of Kerala Government, an anonymous group called ‘Mallu Cyber Soldiers’ defaces around 46 Pakistan websites, which include Pakistan’s government website Pakistan.gov.pk, president.gov.pk and cabinet.gov.pk.",Defacement,Government,H,PK,http://www.inquisitr.com/2451705/indian-hackers-deface-over-40-pakistani-websites-hours-after-two-indian-government-portals-were-hacked/,The Mallu Cyber Soldiers,","
36,27/09/2015,Ghost Italy,"Banca Intesa
Unipol Banca","In name of #OpBankDump, Ghost Italy, a local cell of the Anonymous collective, hacks Banca Intesa and Unipol Banca, two of the most important Italian Banks, and leaks several databases, mainly related to external contractors.",SQLi,Finance,H,IT,http://www.repubblica.it/tecnologia/2015/09/28/news/anonymous_opbankdump_unipol_intesa-123815381/?ref=HRER2-1,"Banca Intesa, Unipol Banca, #OpBankDump, Anonymous, Ghost Italy",","
37,27/09/2015,?,"University of Calgary
http://www.ucalgary.ca","The employee records of a number of University of Calgary staff members are fraudulently accessed, and banking records altered, during an ‘isolated breach’.",Unknown,Education,CC,CA,http://calgary.ctvnews.ca/police-investigate-security-breach-of-university-of-calgary-s-peoplesoft-system-1.2583492,"University of Calgary, ucalgary.ca",","
38,27/09/2015,mr_xenon,http://www.spelapoker.se/,A hacker with the moniker mr_xenon hacks spelapoker.se and dumps 18606 records.,SQLi,Online Gambling,CC,SE,http://webcache.googleusercontent.com/search?q=cache:enNyZpPlZmsJ:pastebin.com/57J2kh8Y+&cd=1&hl=en&ct=clnk&gl=us,"mr_xenon, spelapoker.se",","
39,28/09/2015,Gaza Cybergang,"Government Entities in Egypt, United Arab Emirates and Yemen","Kaspersky Lab unveils the details of the so-called ""Gaza Cybergang"", a group active since 2012 and targeting mainly governmental entities.",Targeted Attack,Government,CE,"EG
UAE
YE",https://securelist.com/blog/research/72283/gaza-cybergang-wheres-your-ir-team/,"Kaspersky Lab, Gaza Cybergang",","
40,28/09/2015,?,Trump Hotel Collection,"The Trump Hotel Collection acknowledges a malware infection across the United States and Canada, potentially stealing customer credit card data for an entire year. The list of hotels includes two locations in New York and one in each of the following cities: Chicago, Honolulu, Las Vegas, Toronto and Miami. ",Malware,Industry: Hotel and Hospitality,CC,"US
CA",http://money.cnn.com/2015/09/30/technology/trump-hotels-hack/,Trump Hotel Collection,","
41,28/09/2015,Exfocus,Rutgers University,A hacker known under the moniker Exfocus takes down the Rutgers University,DDoS,Education,CC,US,http://news.softpedia.com/news/despite-new-equipment-rutgers-university-goes-down-after-ddos-attack-493155.shtml,"Exfocus, Rutgers University",","
42,29/09/2015,SuperExtremeShitpostingTeam,Patreon,"Patreon, the website that allows people to maintain regular donations to a website, an artist, or project, announces to have suffered a security breach. The site says some registered names, e-mail addresses, and mailing addresses were accessed after someone managed to access a “debug version of our website” that at the time was accessible to the public. Unfortunately the attackers leak Gigabyte of data.",SQLi,Crowdfunding Platform,CC,US,"http://arstechnica.com/security/2015/10/patreon-some-user-names-e-mail-and-mailing-addresses-stolen/
http://arstechnica.com/security/2015/10/gigabytes-of-user-data-from-hack-of-patreon-donations-site-dumped-online/","Patreon, SuperExtremeShitpostingTeam",","
43,29/09/2015,?,Kmart,"Australian discount homewares chain Kmart is under investigation, following a data breach that occurred in early September which saw the personal details of its online customers hacked.",Unknown,Industry: Retail,CC,AU,http://www.oaic.gov.au/news-and-events/statements/privacy-statements/kmart-australia-data-breach/kmart-australia-data-breach,Kmart,","
44,30/09/2015,?,Several Thai Government websites,"Several Thai government websites are hit by a suspected DDoS attack, making them impossible to access. It appears to be a protest against the government's plan to limit access to sites deemed inappropriate, dubbed the ""Great Firewall of Thailand"".",DDoS,Government,H,TH,http://www.bbc.com/news/world-asia-34409343,Great Firewall of Thailand,","
45,30/09/2015,0x0D1337,dutchwow.com,"0x0D1337 hacks dutchwow.com (a private World of Warcraft server) and dumps 3,917 records containing usernames and hashed passwords.",SQLi,Online Services,CC,NL,http://siph0n.net/exploits.php?id=4088,"0x0D1337, dutchwow.com",","
46,30/09/2015,KelvinSecTeam,http://www.seniat.gov.ve/,"KelvinSecTeam hacks seniat.gov.ve and dumps 1,651 users with clear text passwords.",SQLi,Government,CC,VE,http://pastebin.com/C17sguxM,"KelvinSecTeam, seniat.gov.ve",","
