ID,Date,Author,Target,Description,Attack,Target Class,Attack Class,Country,Link,Tags,
14,04/09/2015,?,Mozilla's Bugzilla bug tracking system,Mozilla reveals that an attacker was able to stole security-sensitive vulnerability information from the Mozilla's Bugzilla bug tracking system and probably used it to attack Firefox users. The attacker may have had access since September 2013.,Account Hijacking,Org: Software,CC,US,http://arstechnica.com/security/2015/09/mozilla-data-stolen-from-hacked-bug-database-was-used-to-attack-firefox/,"Mozilla, Bugzilla, Firefox",","
15,04/09/2015,?,http://weendviolence.com/,"California-based violence prevention education organization We End Violence discovers a potential intrusion into its Agent of Change application server that could have exposed personal information, and, so far, 79,000 California State University students have been impacted.",Unknown,Org: Education,CC,US,http://www.scmagazine.com/we-end-violence-announces-breach-california-university-impacted/article/437776/,"We End Violence, Agent of Change",","
16,04/09/2015,Smitt3nz,"http://malapelli.com
http://thotamarriagelines.com
http://mudirajpelli.com
http://www.madigapelli.com
http://www.svmarriageslinks.com
http://ssamb.com
http://www.srirasthu.in
http://www.vivahamytri.com
http://www.goudpelli.com","Rubber AKA @smitt3nz hacks 9 dating websites in a row and dumps a total of 7,764 usernames and clear text passwords.",SQLi,Dating,CC,>1,http://siph0n.in/exploits.php?id=4033,"Rubber, @smitt3nz, malapelli.com, thotamarriagelines.com, mudirajpelli.com, madigapelli.com, svmarriageslinks.com, ssamb.com, srirasthu.in, vivahamytri.com, goudpelli.com",","
17,04/09/2015,"F3PN
",53 South African web sites,A hacker called F3PN successfully hack 53 South African Web sites,Defacement,>1,CC,ZA,http://www.balancingact-africa.com/news/en/issue-no-156/web-and-mobile-data/hacker-targets-south/en,F3PN,","
18,05/09/2015,?,The University of South Wales Facebook Page,"The University of South Wales (UNSW), one of Australia’s top universities has images of a porn star and other inappropriate content shared on its Facebook page.",Account Hijacking,Education,CC,AU,https://au.news.yahoo.com/nsw/a/29443937/university-facebook-page-flooded-with-soft-porn-in-embarrassing-hack/,"University of South Wales, UNSW, Facebook",","
19,05/09/2015,13chmod37,http://toko.proumedia.co.id,"A hacker called 13chmod37 hacks toko.proumedia.co.id and dumps 1,570 usernames and clear text passwords.",SQLi,Industry: E-Commerce,CC,ID,http://pastebin.com/YPVyHdjB,"13chmod37, toko.proumedia.co.id",","
20,08/09/2015,?,"The Pentagon
(United States Department of Defense)","Hackers infiltrated the Pentagon food court's computer system, compromising the bank data of an unknown number of employees.",Targeted Attack,Government,CE,US,http://www.washingtonexaminer.com/pentagon-food-court-computers-hacked-exposing-employees-bank-information/article/2571606,"Pentagon, United States Department of Defense",","
21,09/09/2015,DD4BC,Several UK corporations and institutions,"According to an Akamai study, a number of large UK corporations and institutions, such as Lloyds Bank and BAE systems, have reported a “marked increase” in Distributed Denial of Service (DDoS) attacks from the Bitcoin extortionist group DD4BC (114 attacks since April 2015).",DDoS,>1,CC,UK,http://arstechnica.com/business/2015/09/uk-banks-corporations-are-being-blackmailed-by-bitcoin-cyberextortionists/,DD4BC,","
22,09/09/2015,Turla,"Governments, embassies, military groups, educational facilities, researchers and the pharmaceutical industry.","Kaspersky reveals to have discovered a sophisticated hacking group, dubbed Turla, which has gone far beyond standard techniques used to disguise spying and cybercrime campaigns by exploiting weaknesses in global satellite systems.",Targeted Attack,>1,"CC
CE",>1,http://www.zdnet.com/article/tracking-turla-hackers-abuse-satellite-signals-high-in-the-sky/,"Kaspersky, Turla",","
23,09/09/2015,H4nterAsez,http://macare.in/,"H4nterAsez hacks macare.in and dumps 2,000+ usernames and clear text passwords.",SQLi,Healthcare,CC,IN,http://webcache.googleusercontent.com/search?q=cache:OQOtGarRny8J:pastebin.com/4A93qstA+&cd=1&hl=en&ct=clnk&gl=us,"H4nterAsez, macare.in",","
24,10/09/2015,?,Excellus BlueCross BlueShield,"Health insurance company Excellus declares that hackers broke into its servers and may have obtained the personal details of 10.5 million people. The information belongs to customers who lived in or sought treatment in the upstate New York area. The breach, initially occurred on December 23, 2013. exposed the personal information of 7 million Excellus Blue Cross Blue Shield (BCBS) customers and 3.5 million Lifetime Health Care customers.",Targeted Attack,Healthcare,CC,US,http://www.theregister.co.uk/2015/09/10/excellus_breach/,"Excellus, Excellus Blue Cross Blue Shield, BCBS, Lifetime Health Care customers.",","
25,10/09/2015,North Korea,South Korea,"FireEye researchers discovers a campaign led by attackers from North Korea, exploiting a zero day vulnerability (CVE-2015-6585) in Hangul, a word processor popular with the South Korea's government. The backdoor is called Hangman.",Targeted Attack,Government,CE,KR,http://www.theregister.co.uk/2015/09/10/north_korea_exploits_zero_day_in_seouls_favourite_word_doc/,"FireEye, North Korea, CVE-2015-6585, Hangul, South Korea, Hangman",","
26,10/09/2015,?,Oakland Family Services,"Oakland Family Services, reveals the details of a security breach that could have affected 16,000 clients in the area. An unknown person gained access to the email account of an employee in July, which resulted in the potential viewing of protected health information.",Account Hijacking,Org: Non-Profit,CC,US,http://www.scmagazine.com/oakland-family-services-notifies-16k-clients-of-information-breach/article/438995/,Oakland Family Services,","
27,10/09/2015,Cyber-71,Dhaka University,The Dhaka University website is defaced by hacker called Cyber-71.,Defacement,Education,CC,BD,http://bdnews24.com/bangladesh/2015/09/11/dhaka-university-website-still-down-authorities-claim-hacker-marked,"Dhaka University, Cyber-71",","
28,11/09/2015,ISIL,UK ministerial emails,The Telegraph reveals that Jihadists in Syria hack into UK ministerial email accounts in a sophisticated espionage operation uncovered by GCHQ,Targeted Attack,Government,CE,UK,http://www.telegraph.co.uk/news/politics/11859005/Cabinet-ministers-email-hacked-by-Isil-spies.html,"ISIL, ISIS, ",","
29,11/09/2015,?,U.S. Department of Energy,Federal Records obtained by USA TODAY show that attackers successfully compromised U.S. Department of Energy computer systems more than 150 times between 2010 and 2014.,Targeted Attack,Government,CE,US,http://www.usatoday.com/story/news/2015/09/09/cyber-attacks-doe-energy/71929786/,"U.S. Department of Energy, USA TODAY",","
30,11/09/2015,Mr.Black,http://asankadr.az,"A hacker called Mr.Black hacks asankadr.az (a recruitment web site) and dumps 2,447 usernames and hashed passwords.",SQLi,Industry: Recruiting,CC,AZ,http://webcache.googleusercontent.com/search?q=cache:iO4ApriCHQ4J:pastebin.com/Kaw9gV4R+&cd=1&hl=en&ct=clnk&gl=us,"Mr.Black, asankadr.az",","
31,11/09/2015,?,Penrith High School,A small group of students from Penrith High School have allegedly used a teacher's login credentials to access a Department of Education computer system that contains students' assessment marks.,Account Hijacking,Education,CC,US,http://www.zdnet.com/article/western-sydney-students-access-department-computer-system/,Penrith High School,","
32,13/09/2015,?,"Kremlin’s official website
http://kremlin.ru",The Kremlin’s official website falls under a massive DDoS Attack. The attack is carried out simultaneously with another attack that reportedly targeted the website of the Russian Electoral Commission. Both of the attacks are made on national Election Day.,DDoS,Government,CC,RU,https://www.rt.com/politics/315338-hacker-attack-kremlin-website/,Kremlin,","
33,13/09/2015,r3dm0v3,http://cromotransfer.com.br/,"r3dm0v3 hacks cromotransfer.com.br and dumps 6,529 usernames and clear text passwords.",SQLi,Industry: E-Commerce,CC,BR,http://pastebin.com/JSSe18nL,"r3dm0v3, cromotransfer.com.br",","
34,13/09/2015,Kyfx,Kumoh National Institute of Technology,"A hacker called Kyfx hacks a subdomain of the Kumoh National Institute of Technology and dumps 1,448 usernames and clear text passwords.",SQLi,Education,CC,KR,http://pastebin.com/6SCzVT98,"Kyfx, Kumoh National Institute of Technology",","
35,14/09/2015,?,>1,Malwarebytes publishes the analysis of a recently detected malvertising attack that affected many ad networks and ran uninterrupted for almost three weeks.,Malvertising,>1,CC,>1,https://blog.malwarebytes.org/malvertising-2/2015/09/large-malvertising-campaign-goes-almost-undetected/,"Malvertising, Malwarebytes",","
36,15/09/2015,?,Cisco Routers,FireEye unveils the details of a campaign involving the stealthy modification of a router's firmware image that can be used to maintain persistence within a victim's network. The campaign is called SYNful Knock and has hit at least 79 devices in 19 countries.,Malicious Router Images Implant,>1,CE,>1,http://arstechnica.com/security/2015/09/malicious-cisco-router-backdoor-found-on-79-more-devices-25-in-the-us/,"FireEye, Cisco, SYNful Knock",","
37,15/09/2015,?,Cryptome.org,"The creator of digital library and whistle-blowing site Cryptome.org, John Young, revokes his PGP key pairs after learning they were compromised.",Unknown,Org: Digital Library,CE,US,http://www.theregister.co.uk/2015/09/16/cryptome_revokes_pgp_keys_after_mysterious_compromise/,"Cryptome.org, John Young",","
